eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,177,742427,19167.1,316,9208.001666666667,9425.126666666669,15.0,1.0,0.006,24.4839,3.3738,0.0059,0.0853,345,0.2197,2.3539,4.5072
nan,nan,nan,nan,nan,178,753825,19441.5,320,6467.153,8742.551999999998,15.0,2.0,0.0095,14.7387,3.6004,0.0125,0.1043,357,0.2084,-0.997,3.8362
nan,nan,nan,nan,nan,179,764751,19721.2,324,8549.64833333333,10367.784555555554,24.0,1.0,0.0071,141.2471,3.3383,0.0095,0.1081,342,0.1969,7.3641,9.5033
12307.505166666668,9.5,10.0,14606.928666666667,26.5,180,774686,19957.4,328,8070.948999999999,9120.13411111111,19.0,4.0,0.0061,19.2337,3.0973,0.0081,0.0887,311,0.1778,2.9078,3.4606
nan,nan,nan,nan,nan,181,788177,20439.1,332,13441.75266666667,9848.098000000002,30.0,10.0,0.0093,290.8695,3.9093,0.0186,0.1776,422,0.2517,-4.8243,16.5227
nan,nan,nan,nan,nan,182,798357,20671.2,336,9001.545333333333,7503.518000000001,23.0,2.0,0.0062,147.3561,3.5498,0.0195,0.1837,319,0.2951,-9.3533,7.9894
nan,nan,nan,nan,nan,183,808082,20910.9,340,7900.708333333333,8057.641555555555,24.0,1.0,0.006,14.5779,3.221,0.0081,0.0769,304,0.229,-0.8724,3.865
nan,nan,nan,nan,nan,184,819573,21186.2,344,7009.841333333332,10191.633111111109,14.0,1.0,0.0066,146.5632,3.5662,0.0095,0.0917,360,0.2434,3.7394,11.6536
nan,nan,nan,nan,nan,185,833574,21539.3,348,7802.595333333334,11242.184111111112,15.0,2.0,0.0059,41.0847,4.0701,0.0091,0.0796,438,0.2534,0.3785,6.5218
nan,nan,nan,nan,nan,186,843033,21757.3,352,8055.732333333333,9195.485333333332,23.0,1.0,0.0045,75.9002,3.2614,0.0064,0.0695,296,0.2296,4.519,7.5748
